document_id,token_index,sentence_index,paragraph_index,token_text,lemma,pos,domain_class,character_offset,normalized_position,mean_delta_z,median_delta_z,std_delta_z,mean_abs_delta_z,clean_transition_rate,standard_error,ci95_low,ci95_high,n_trials,status
cli_input,196,4,0,fitting,fitting,JJ,general,527,0.5240641711229946,-0.20867508064217274,-0.2457876046438352,0.06930141795041932,0.20867508064217274,0.0,0.03099253629485235,-0.26942045178008334,-0.14792970950426215,5,valid
cli_input,222,5,0,curtail,curtail,VB,general,597,0.5935828877005348,-0.12606882775956466,-0.1382867932739158,0.13183882718317882,0.15407289531728527,0.0,0.05896011593108699,-0.24163065498449515,-0.010507000534634159,5,valid
cli_input,242,5,0,warm,warm,JJ,general,665,0.6470588235294118,-0.24463840573746892,-0.2083785844042737,0.10022502557641055,0.24463840573746892,0.25,0.05011251278820528,-0.34285893080235125,-0.1464178806725866,4,valid
cli_input,255,6,0,vital,vital,JJ,general,696,0.6818181818181818,-0.06616223072611578,-0.03290302212241891,0.151830128721452,0.1271305663517182,0.0,0.06790049777074197,-0.19924720635677007,0.06692274490453849,5,valid
cli_input,321,8,0,advocate,advocate,VB,general,895,0.8582887700534759,-0.14358620320920817,-0.11578276868390125,0.09306458863680904,0.14358620320920817,0.0,0.0416197492979919,-0.2251609118332723,-0.06201149458514406,5,valid
cli_input,339,8,0,specification,specification,NN,general,937,0.9064171122994652,0.06620580957041473,0.000648251097745467,0.12001070041599736,0.06620580957041473,0.0,0.05367041683150647,-0.03898820741933795,0.17139982656016742,5,valid
cli_input,358,8,0,proper,proper,JJ,general,987,0.9572192513368984,-0.08383769314214295,-0.09083938686547999,0.107610716793196,0.10354859953295796,0.0,0.04812497557141289,-0.17816264526211223,0.010487258977826305,5,valid
cli_input,48,2,0,vital,vital,JJ,biomedical,130,0.0967741935483871,-0.22552600357663705,-0.2602839542572404,0.10138270771368647,0.22552600357663705,1.0,0.045339725238159045,-0.31439186504342875,-0.13666014210984534,5,valid
cli_input,80,2,0,apt,apt,JJ,biomedical,231,0.16129032258064516,-0.2175094410766695,-0.261259290418574,0.14195052856872664,0.2175094410766695,1.0,0.06348220626433973,-0.3419345653547754,-0.09308431679856363,5,valid
cli_input,108,3,0,help,help,VB,biomedical,300,0.21774193548387097,-0.10306500822008662,-0.08097981769060425,0.056961302036710904,0.10306500822008662,1.0,0.02547386868819656,-0.15299379084895187,-0.05313622559122136,5,valid
cli_input,144,3,0,allow,allow,VB,biomedical,392,0.2903225806451613,-0.22100600177907684,-0.19251242640697552,0.07851355190125925,0.22100600177907684,1.0,0.035112327841234706,-0.2898261643478969,-0.1521858392102568,5,valid
cli_input,148,3,0,system,system,NN,biomedical,403,0.29838709677419356,-0.13328551659157317,-0.1480237990542601,0.04974691348884725,0.13328551659157317,1.0,0.022247496046372734,-0.17689060884246371,-0.08968042434068262,5,valid
cli_input,183,4,0,warm,warm,JJ,biomedical,503,0.3689516129032258,0.12040701272168647,0.11528921084884469,0.21478994557827746,0.17633371541211934,1.0,0.10739497278913873,-0.09008713394502543,0.33090115938839837,4,valid
cli_input,261,6,0,lowerring,lower,VBG,biomedical,743,0.5262096774193549,-0.08530523585355385,-0.0732377797148347,0.058543012868069164,0.08530523585355385,1.0,0.026181231276129514,-0.13662044915476768,-0.03399002255234,5,valid
cli_input,291,6,0,lowerring,lower,VBG,biomedical,824,0.5866935483870968,-0.13687100965375737,-0.08964396840604771,0.08400280759205428,0.13687100965375737,1.0,0.03756719761533376,-0.21050271697981154,-0.0632393023277032,5,valid
